ticker,PE_ratio,ROE,DE_ratio,dividend_yield,revenue_growth,profit_margin,current_ratio,market_cap_raw,beta,sector,forward_return
C,15.802575,0.06831,,2.16,0.037,0.18893999,,11.295879983380287,1.141,Financial Services,-0.16607433036387034
CFG,16.79404,0.07241,,2.84,0.107,0.23969,,10.44469168987197,1.071,Financial Services,0.49661426951561943
CLX,20.478724,9.87179,9191.429,3.98,-0.008,0.111719996,0.736,10.18363406404097,0.607,Consumer Defensive,0.2544927499251876
CME,27.166666,0.1475,11.913,1.72,0.083,0.62451,1.032,11.037414418999209,0.28,Financial Services,0.040566176120286956
CMS,21.675638,0.108559996,194.861,3.05,0.123,0.12542,0.979,10.370064959973224,0.481,Utilities,0.38637551313664814
KO,25.896381,0.43323,132.726,2.58,0.024,0.2734,1.459,11.529743606909518,0.364,Consumer Defensive,-0.03249981883890657
CTSH,14.732456,0.15158,7.672,2.01,0.049,0.10564999,2.337,10.510869134986775,0.957,Technology,0.18334351102496554
COIN,37.58108,0.26005,48.559,,0.589,0.43664002,2.404,10.653164911564932,3.703,Financial Services,0.03857676144407285
CL,36.676804,4.9747,2188.493,2.16,0.058,0.1046,0.995,10.891877280996534,0.291,Consumer Defensive,-0.07299619296273138
CMCSA,5.8747683,0.2141,107.863,4.15,0.012,0.16166,0.882,11.062145314927232,0.793,Communication Services,-0.1548897519511122
FIX,56.623627,0.43842,18.973,0.15,0.352,0.10063,1.221,10.674558869740663,1.668,Industrials,0.2895949596041862
CAG,,-0.0116,94.229,7.02,-0.068,-0.008719999,0.891,9.973898872010595,-0.019,Consumer Defensive,0.38493271497811204
COP,17.592127,0.12357,36.355,3.03,-0.068,0.13252,1.297,11.140011498588192,0.291,Energy,0.038544543907324924
ED,19.833042,0.08839,110.373,3.08,0.107,0.122700006,1.075,10.612215086601084,0.388,Utilities,-0.22326121040017977
STZ,23.95047,0.14454001,133.293,2.51,-0.098,0.11826,1.339,10.423554679197117,0.44,Consumer Defensive,0.12531868738093677
CEG,33.525776,0.19839,61.51,0.56,0.003,0.11026,1.563,11.025449489477316,1.136,Utilities,0.47883738590718455
COO,44.52941,0.045939997,33.785,,0.046,0.09161,1.893,10.218924425267936,1.027,Healthcare,0.4577625916523837
CPRT,23.101227,0.18124,1.039,,0.007,0.34243,7.939,10.561705937368329,1.083,Industrials,-0.07556010439267549
GLW,72.09808,0.14904,68.53,0.85,0.204,0.10212,1.588,11.053538240625972,1.124,Technology,0.16856349231848705
CPAY,22.275265,0.29071,236.52,,0.207,0.23625,0.977,10.37396389835612,0.808,Technology,0.001489144945107379
CTVA,42.93714,0.04974,10.58,0.97,-0.017,0.06287,1.43,10.705645649651263,0.737,Basic Materials,-0.0016573804956134808
CSGP,755.0,0.00252,13.126,,0.204,0.00664,3.121,10.283282513103414,0.85,Real Estate,0.2548851088305955
COST,54.40712,0.30325,26.968,0.52,0.083,0.02961,1.038,11.65437419258104,1.008,Consumer Defensive,-0.2788860512674741
CTRA,14.499999,0.118549995,27.957,2.86,0.349,0.24691999,1.025,10.377421817483276,0.36,Energy,0.2739508579218986
CRH,25.085827,0.14487,83.856,1.2,0.053,0.092980005,1.453,10.924128214650349,1.182,Basic Materials,-0.03690563438644068
CRWD,,-0.088149995,20.154,,0.222,-0.06882,1.811,11.035805518670115,1.034,Technology,-0.22638029647027105
CCI,35.83135,,,4.84,-0.35,0.10413,0.255,10.594630909573207,0.984,Real Estate,0.46708041176653775
CSX,26.512989,0.22511,143.412,1.28,-0.009,0.20501,0.814,10.881489843691577,1.29,Industrials,0.27073972879025193
CMI,29.26696,0.23928,60.516,1.33,0.011,0.08444,1.761,10.918319033295285,1.119,Industrials,-0.12030302572732604
CVS,56.438847,0.022869999,106.06,3.41,0.084,0.00442,0.842,10.999152101532381,0.501,Healthcare,0.09320019712352717
DHR,42.20477,0.07053,35.055,0.6,0.046,0.1471,1.874,11.176287486361588,0.958,Healthcare,0.17107002820086575
DRI,22.172956,0.54104,401.269,2.82,0.073,0.08924,0.394,10.391003047760751,0.614,Consumer Cyclical,-0.25623768811086955
DDOG,397.60938,0.03343,34.269,,0.292,0.03144,3.382,10.649506135916898,1.286,Technology,0.4893578307031879
DVA,15.623028,0.64848,1111.353,,0.099,0.05474,1.292,9.997040662367143,1.011,Healthcare,0.34361671869182847
DAY,,-0.05706,45.53,,0.095,-0.07912,1.043,10.048443444387996,1.167,Technology,0.408979197427155
DECK,16.383522,0.39688,13.14,,0.071,0.19348,2.856,10.225573093800648,1.146,Consumer Cyclical,0.3112873943166447
DE,32.80411,0.20427999,248.418,1.08,0.126,0.11017,2.262,11.215718837232558,1.004,Industrials,0.2725023241143432
DELL,15.6711235,,,1.86,0.108,0.05005,0.853,10.895206286487435,1.099,Technology,-0.00746184093725516
DAL,9.011749,0.27693,102.498,1.08,0.029,0.078990005,0.397,10.654037949821037,1.338,Industrials,-0.1151026341704452
DVN,10.540094,0.18586999,56.274,2.18,0.071,0.16424999,0.957,10.447685622244402,0.625,Energy,0.07121432994234778
DXCM,33.626797,0.30635,94.479,,0.216,0.15958999,1.565,10.440289790478106,1.488,Healthcare,-0.048261593821850635
FANG,11.871579,0.10901,35.66,2.39,0.42,0.28689,0.623,10.685486778728142,0.584,Energy,0.10306161608236414
DLR,50.309193,0.05469,79.109,2.71,0.171,0.2152,1.391,10.800511939054859,1.148,Real Estate,-0.17148771522102277
DG,26.52677,0.16450001,201.663,1.59,0.046,0.03033,1.171,10.529020203189214,0.255,Consumer Defensive,0.03545100481715463
DLTR,23.94697,0.20066999,221.055,,0.094,-0.15397,0.959,10.411446188367242,0.744,Consumer Defensive,0.0335735317721238
D,21.687908,0.09204,154.315,4.1,0.149,0.16790001,0.845,10.753352860485009,0.706,Utilities,-0.06717731782715547
DPZ,21.9538,,,1.82,0.031,0.12159,1.609,10.105331812047199,1.167,Consumer Cyclical,0.19666037029893463
DASH,81.63636,0.100430004,34.255,,0.273,0.0683,2.045,10.843024634549952,1.795,Consumer Cyclical,0.47262689220124093
DOV,29.09649,0.15285,44.941,0.9,0.088,0.13518,1.79,10.503049509116085,1.289,Industrials,-0.26148954548924946
DOW,,-0.13818,111.871,4.29,-0.091,-0.065630004,1.967,10.370058131474652,0.753,Basic Materials,-0.1636217982122556
DHI,15.257506,0.13477,22.872,1.09,-0.095,0.09948,6.332,10.688522769203356,1.45,Consumer Cyclical,0.497391823535635
DTE,21.733133,0.11658,207.975,3.2,0.214,0.093439996,1.152,10.478649177853761,0.484,Utilities,-0.20883098747767528
DUK,20.236134,0.09724,171.39,3.38,0.144,0.15411,0.552,10.99694734847692,0.51,Utilities,0.2178833516278164
DD,238.26192,0.0051700003,22.648,2.89,-0.452,-0.11374,2.419,10.32146235092096,1.16,Basic Materials,0.2441166906644549
ETN,37.536808,0.21525998,54.091,1.07,0.131,0.1489,1.319,11.184273420482663,1.18,Industrials,0.221286946311458
EBAY,18.223946,0.42430001,151.155,1.46,0.095,0.20366,0.925,10.574735203642183,1.38,Consumer Cyclical,-0.23595517601639865
ECL,41.203983,0.22516,103.915,0.97,0.178,0.12907,1.076,10.929814928284877,0.992,Basic Materials,0.12332574984129041
EIX,9.326344,0.15765001,204.02,5.08,0.106,0.16315001,0.82,10.437509398908658,0.829,Utilities,0.483883763430856
EW,42.353596,0.1042,6.862,,0.133,0.17692,,10.65328093065165,0.94,Healthcare,0.1342959035037627
EA,75.097374,0.10027,36.443,0.38,0.01,0.09307,0.926,10.700516563244866,0.745,Communication Services,0.4799302427360452
ELV,13.676984,0.1325,74.388,2.05,0.095,0.02843,1.535,10.881202393907314,0.503,Healthcare,-0.17715945687611895
EME,32.213737,0.37088,12.915,0.2,0.164,0.06959,1.192,10.553789880627075,1.161,Industrials,0.40624365418426317
EMR,36.305897,0.09646,69.283,1.49,0.041,0.12718001,0.841,10.919541254395716,1.249,Industrials,0.309871938799317
ETR,26.979538,0.11188,179.362,2.43,0.125,0.1421,0.713,10.67312696781044,0.654,Utilities,0.10018453809308758
EOG,11.986083,0.18476999,26.835,3.46,-0.024,0.24410999,1.624,10.818462674942769,0.472,Energy,0.1126134534810917
EPAM,25.384148,0.10207,4.165,,0.194,0.070149995,3.022,9.967297510776456,1.718,Technology,0.16628605722561313
EQT,19.097721,0.08488,30.675,1.15,0.514,0.23097,0.578,10.563353781527976,0.728,Energy,0.0948800756207705
EFX,36.18011,0.13757,107.494,1.06,0.092,0.1087,0.605,10.372957395706965,1.559,Industrials,-0.20660945125879465
